run_id,timestamp,benchmark_version,stage,intent_id,language,query_text,agent_design_id,response_model_id,embedding_model_id,tokenizer_name,prompt_version,kb_version,retrieved_chunk_ids,retrieved_fact_ids,retrieval_scores,input_tokens,output_tokens,total_tokens,model_calls,retrieval_calls,retry_count,latency_ms,estimated_cost_usd,endpoint_outcome,failure_type,evaluator_notes,raw_output_path
S2-INT-017-tr-B,2026-06-14T19:19:07.795854+00:00,nicem-bench-v0.1,stage2_smoke_test,INT-017,tr,"Camera Plus Plan'ımı faturalandırma döneminin ortasında iptal edersem, dönem sonuna kadar bulut depolama erişimim devam eder mi? Kısmi para iadesi alır mıyım?",agent_b_simple_rag,gpt-4.1-mini-2025-04-14,text-embedding-3-small,o200k_base,s2-prompt-b-v0.1.0,kb-tr-v0.1.0,,,,,,,0,0,0,,0,NOT_RUN,,dry-run skeleton; not executed,
S2-INT-026-en-A,2026-06-14T19:19:07.795854+00:00,nicem-bench-v0.1,stage2_smoke_test,INT-026,en,How do I add a new NiceHome Sensor to my system?,agent_a_direct_full_kb,gpt-4.1-mini-2025-04-14,,o200k_base,s2-prompt-a-v0.1.0,kb-en-v0.1.0,,,,,,,0,0,0,,0,NOT_RUN,,dry-run skeleton; not executed,
S2-INT-026-en-B,2026-06-14T19:19:07.795854+00:00,nicem-bench-v0.1,stage2_smoke_test,INT-026,en,How do I add a new NiceHome Sensor to my system?,agent_b_simple_rag,gpt-4.1-mini-2025-04-14,text-embedding-3-small,o200k_base,s2-prompt-b-v0.1.0,kb-en-v0.1.0,,,,,,,0,0,0,,0,NOT_RUN,,dry-run skeleton; not executed,
S2-INT-026-nl-A,2026-06-14T19:19:07.795854+00:00,nicem-bench-v0.1,stage2_smoke_test,INT-026,nl,Hoe voeg ik een nieuwe NiceHome Sensor toe aan mijn systeem?,agent_a_direct_full_kb,gpt-4.1-mini-2025-04-14,,o200k_base,s2-prompt-a-v0.1.0,kb-nl-v0.1.0,,,,,,,0,0,0,,0,NOT_RUN,,dry-run skeleton; not executed,
S2-INT-026-nl-B,2026-06-14T19:19:07.795854+00:00,nicem-bench-v0.1,stage2_smoke_test,INT-026,nl,Hoe voeg ik een nieuwe NiceHome Sensor toe aan mijn systeem?,agent_b_simple_rag,gpt-4.1-mini-2025-04-14,text-embedding-3-small,o200k_base,s2-prompt-b-v0.1.0,kb-nl-v0.1.0,,,,,,,0,0,0,,0,NOT_RUN,,dry-run skeleton; not executed,
S2-INT-026-tr-A,2026-06-14T19:19:07.795854+00:00,nicem-bench-v0.1,stage2_smoke_test,INT-026,tr,Sisteme yeni bir NiceHome Sensor'u nasıl eklerim?,agent_a_direct_full_kb,gpt-4.1-mini-2025-04-14,,o200k_base,s2-prompt-a-v0.1.0,kb-tr-v0.1.0,,,,,,,0,0,0,,0,NOT_RUN,,dry-run skeleton; not executed,
S2-INT-026-tr-B,2026-06-14T19:19:07.795854+00:00,nicem-bench-v0.1,stage2_smoke_test,INT-026,tr,Sisteme yeni bir NiceHome Sensor'u nasıl eklerim?,agent_b_simple_rag,gpt-4.1-mini-2025-04-14,text-embedding-3-small,o200k_base,s2-prompt-b-v0.1.0,kb-tr-v0.1.0,,,,,,,0,0,0,,0,NOT_RUN,,dry-run skeleton; not executed,
S2-INT-031-en-A,2026-06-14T19:19:07.795854+00:00,nicem-bench-v0.1,stage2_smoke_test,INT-031,en,"How do I factory reset my NiceHome Hub, and what do I need to do afterward?",agent_a_direct_full_kb,gpt-4.1-mini-2025-04-14,,o200k_base,s2-prompt-a-v0.1.0,kb-en-v0.1.0,,,,,,,0,0,0,,0,NOT_RUN,,dry-run skeleton; not executed,
S2-INT-031-en-B,2026-06-14T19:19:07.795854+00:00,nicem-bench-v0.1,stage2_smoke_test,INT-031,en,"How do I factory reset my NiceHome Hub, and what do I need to do afterward?",agent_b_simple_rag,gpt-4.1-mini-2025-04-14,text-embedding-3-small,o200k_base,s2-prompt-b-v0.1.0,kb-en-v0.1.0,,,,,,,0,0,0,,0,NOT_RUN,,dry-run skeleton; not executed,
S2-INT-031-nl-A,2026-06-14T19:19:07.795854+00:00,nicem-bench-v0.1,stage2_smoke_test,INT-031,nl,"Hoe herstel ik mijn NiceHome Hub naar de fabrieksinstellingen, en wat moet ik daarna doen?",agent_a_direct_full_kb,gpt-4.1-mini-2025-04-14,,o200k_base,s2-prompt-a-v0.1.0,kb-nl-v0.1.0,,,,,,,0,0,0,,0,NOT_RUN,,dry-run skeleton; not executed,
S2-INT-031-nl-B,2026-06-14T19:19:07.795854+00:00,nicem-bench-v0.1,stage2_smoke_test,INT-031,nl,"Hoe herstel ik mijn NiceHome Hub naar de fabrieksinstellingen, en wat moet ik daarna doen?",agent_b_simple_rag,gpt-4.1-mini-2025-04-14,text-embedding-3-small,o200k_base,s2-prompt-b-v0.1.0,kb-nl-v0.1.0,,,,,,,0,0,0,,0,NOT_RUN,,dry-run skeleton; not executed,
S2-INT-031-tr-A,2026-06-14T19:19:07.795854+00:00,nicem-bench-v0.1,stage2_smoke_test,INT-031,tr,NiceHome Hub'ımı fabrika ayarlarına nasıl sıfırlarım? Sıfırladıktan sonra ne yapmam gerekiyor?,agent_a_direct_full_kb,gpt-4.1-mini-2025-04-14,,o200k_base,s2-prompt-a-v0.1.0,kb-tr-v0.1.0,,,,,,,0,0,0,,0,NOT_RUN,,dry-run skeleton; not executed,
S2-INT-031-tr-B,2026-06-14T19:19:07.795854+00:00,nicem-bench-v0.1,stage2_smoke_test,INT-031,tr,NiceHome Hub'ımı fabrika ayarlarına nasıl sıfırlarım? Sıfırladıktan sonra ne yapmam gerekiyor?,agent_b_simple_rag,gpt-4.1-mini-2025-04-14,text-embedding-3-small,o200k_base,s2-prompt-b-v0.1.0,kb-tr-v0.1.0,,,,,,,0,0,0,,0,NOT_RUN,,dry-run skeleton; not executed,
